Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Licensed practical nurses,Prince Edward Island,Years since graduation,<5 years,154.00,158.00,166.00,181.00,191.00,191.00,219.00,211.00,198.00,212.00
Licensed practical nurses,Prince Edward Island,Years since graduation,5-10 years,118.00,115.00,117.00,137.00,170.00,186.00,173.00,185.00,192.00,223.00
Licensed practical nurses,Prince Edward Island,Years since graduation,11-20 years,156.00,168.00,171.00,174.00,169.00,173.00,180.00,187.00,184.00,204.00
Licensed practical nurses,Prince Edward Island,Years since graduation,21-30 years,127.00,113.00,117.00,117.00,117.00,119.00,115.00,110.00,114.00,117.00
Licensed practical nurses,Prince Edward Island,Years since graduation,31+ years,86.00,95.00,96.00,98.00,95.00,101.00,98.00,104.00,106.00,119.00
Licensed practical nurses,Prince Edward Island,Years since graduation,Not stated,3.00,2.00,3.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Nova Scotia,Supply,Total,3908.00,4014.00,4142.00,4252.00,4318.00,4439.00,4537.00,4678.00,4645.00,4679.00
Licensed practical nurses,Nova Scotia,Age,Age <25,93.00,113.00,120.00,128.00,150.00,148.00,161.00,172.00,161.00,147.00
Licensed practical nurses,Nova Scotia,Age,Age 25-34,815.00,909.00,995.00,1091.00,1114.00,1161.00,1203.00,1281.00,1224.00,1197.00
Licensed practical nurses,Nova Scotia,Age,Age 35-44,1041.00,1018.00,1038.00,1027.00,1043.00,1089.00,1131.00,1136.00,1172.00,1227.00
Licensed practical nurses,Nova Scotia,Age,Age 45-54,1061.00,1057.00,1040.00,1059.00,1054.00,1061.00,1066.00,1104.00,1096.00,1106.00
Licensed practical nurses,Nova Scotia,Age,Age 55-64,759.00,775.00,800.00,802.00,796.00,808.00,801.00,788.00,783.00,765.00
Licensed practical nurses,Nova Scotia,Age,Age 65+,139.00,142.00,149.00,145.00,161.00,172.00,175.00,197.00,209.00,237.00
Licensed practical nurses,Nova Scotia,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Nova Scotia,Age,Average age,44.50,44.10,43.90,43.60,43.50,43.40,43.20,43.20,43.30,43.40
Licensed practical nurses,Nova Scotia,Sex,Female,3708.00,3791.00,3913.00,4016.00,4093.00,4199.00,4295.00,4420.00,4381.00,4378.00
Licensed practical nurses,Nova Scotia,Sex,Male,200.00,223.00,229.00,236.00,225.00,238.00,240.00,249.00,252.00,287.00
Licensed practical nurses,Nova Scotia,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,2.00,2.00,9.00,12.00,14.00
Licensed practical nurses,Nova Scotia,Inflow,Total,366.00,391.00,400.00,429.00,434.00,517.00,465.00,525.00,486.00,584.00
Licensed practical nurses,Nova Scotia,Inflow,Age <35,236.00,278.00,256.00,288.00,283.00,333.00,310.00,343.00,296.00,313.00
Licensed practical nurses,Nova Scotia,Inflow,Age 35-54,118.00,98.00,128.00,127.00,135.00,160.00,140.00,159.00,169.00,249.00
Licensed practical nurses,Nova Scotia,Inflow,Age 55+,12.00,15.00,16.00,14.00,16.00,24.00,15.00,23.00,21.00,22.00
Licensed practical nurses,Nova Scotia,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Nova Scotia,Outflow,Total,285.00,272.00,319.00,368.00,396.00,367.00,384.00,519.00,550.00,
Licensed practical nurses,Nova Scotia,Outflow,Age <35,91.00,92.00,112.00,149.00,185.00,151.00,162.00,235.00,217.00,
Licensed practical nurses,Nova Scotia,Outflow,Age 35-54,87.00,89.00,92.00,122.00,116.00,104.00,125.00,177.00,225.00,
Licensed practical nurses,Nova Scotia,Outflow,Age 55+,107.00,91.00,115.00,97.00,95.00,112.00,97.00,107.00,108.00,
Licensed practical nurses,Nova Scotia,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Licensed practical nurses,Nova Scotia,Renewal,Total,3542.00,3623.00,3742.00,3823.00,3884.00,3922.00,4072.00,4153.00,4159.00,4095.00
Licensed practical nurses,Nova Scotia,Renewal,Age <35,672.00,744.00,859.00,931.00,981.00,976.00,1054.00,1110.00,1089.00,1031.00
Licensed practical nurses,Nova Scotia,Renewal,Age 35-54,1984.00,1977.00,1950.00,1959.00,1962.00,1990.00,2057.00,2081.00,2099.00,2084.00
Licensed practical nurses,Nova Scotia,Renewal,Age 55+,886.00,902.00,933.00,933.00,941.00,956.00,961.00,962.00,971.00,980.00
Licensed practical nurses,Nova Scotia,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Nova Scotia,Employment status,Employed in profession,3774.00,3850.00,3994.00,4044.00,4114.00,4146.00,4315.00,4458.00,4408.00,4314.00
Licensed practical nurses,Nova Scotia,Employment status,Employed in other than profession and seeking employment in profession,0.00,2.00,3.00,9.00,5.00,13.00,15.00,67.00,28.00,50.00
Licensed practical nurses,Nova Scotia,Employment status,Employed in other than profession and not seeking employment in profession,0.00,0.00,2.00,0.00,1.00,1.00,4.00,4.00,2.00,11.00
Licensed practical nurses,Nova Scotia,Employment status,Not employed and seeking employment in profession,15.00,158.00,133.00,190.00,154.00,215.00,197.00,143.00,187.00,237.00
Licensed practical nurses,Nova Scotia,Employment status,Not employed and not seeking employment in profession,119.00,4.00,10.00,4.00,9.00,6.00,5.00,6.00,20.00,45.00
Licensed practical nurses,Nova Scotia,Employment status,Not stated,0.00,0.00,0.00,5.00,35.00,58.00,1.00,0.00,0.00,22.00
Licensed practical nurses,Nova Scotia,Location of graduation,Canadian educated,3786.00,3800.00,3894.00,3972.00,4054.00,4149.00,4246.00,4389.00,4356.00,4428.00
Licensed practical nurses,Nova Scotia,Location of graduation,Internationally educated,122.00,214.00,248.00,280.00,264.00,281.00,289.00,289.00,275.00,231.00
Licensed practical nurses,Nova Scotia,Location of graduation,Not stated,0.00,0.00,0.00,0.00,0.00,9.00,2.00,0.00,14.00,20.00
Licensed practical nurses,Nova Scotia,Years since graduation,<5 years,675.00,709.00,723.00,815.00,862.00,951.00,970.00,959.00,898.00,866.00
Licensed practical nurses,Nova Scotia,Years since graduation,5-10 years,868.00,937.00,1010.00,1092.00,1091.00,1089.00,1004.00,1110.00,1132.00,1202.00
Licensed practical nurses,Nova Scotia,Years since graduation,11-20 years,858.00,868.00,899.00,890.00,947.00,991.00,1148.00,1193.00,1212.00,1227.00
Licensed practical nurses,Nova Scotia,Years since graduation,21-30 years,709.00,696.00,707.00,678.00,659.00,657.00,677.00,678.00,662.00,648.00
Licensed practical nurses,Nova Scotia,Years since graduation,31+ years,798.00,804.00,803.00,777.00,759.00,742.00,735.00,737.00,727.00,715.00
Licensed practical nurses,Nova Scotia,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,9.00,3.00,1.00,14.00,21.00
Licensed practical nurses,New Brunswick,Supply,Total,3279.00,3345.00,3252.00,3394.00,3286.00,3076.00,3422.00,3545.00,3675.00,3623.00
Licensed practical nurses,New Brunswick,Age,Age <25,179.00,192.00,182.00,225.00,,79.00,327.00,244.00,239.00,279.00
Licensed practical nurses,New Brunswick,Age,Age 25-34,749.00,786.00,779.00,853.00,,809.00,924.00,985.00,1048.00,1027.00
Licensed practical nurses,New Brunswick,Age,Age 35-44,879.00,876.00,846.00,871.00,,805.00,901.00,924.00,940.00,901.00
Licensed practical nurses,New Brunswick,Age,Age 45-54,882.00,886.00,860.00,842.00,,791.00,751.00,814.00,840.00,852.00
Licensed practical nurses,New Brunswick,Age,Age 55-64,534.00,537.00,524.00,533.00,,518.00,450.00,495.00,521.00,488.00
Licensed practical nurses,New Brunswick,Age,Age 65+,56.00,68.00,61.00,70.00,,74.00,65.00,83.00,86.00,76.00
Licensed practical nurses,New Brunswick,Age,Not stated,0.00,0.00,0.00,0.00,,0.00,4.00,0.00,1.00,0.00
Licensed practical nurses,New Brunswick,Age,Average age,42.60,42.50,42.40,41.90,,42.90,40.40,41.20,41.20,40.90
Licensed practical nurses,New Brunswick,Sex,Female,2966.00,3016.00,2949.00,3087.00,,2799.00,3129.00,3237.00,3348.00,3311.00
Licensed practical nurses,New Brunswick,Sex,Male,313.00,329.00,303.00,307.00,,277.00,289.00,304.00,324.00,310.00
Licensed practical nurses,New Brunswick,Sex,Not stated,0.00,0.00,0.00,0.00,,0.00,4.00,4.00,3.00,2.00
Licensed practical nurses,New Brunswick,Inflow,Total,374.00,288.00,224.00,397.00,,,890.00,133.00,478.00,542.00
Licensed practical nurses,New Brunswick,Inflow,Age <35,229.00,200.00,164.00,258.00,,,636.00,68.00,302.00,356.00
Licensed practical nurses,New Brunswick,Inflow,Age 35-54,124.00,76.00,53.00,113.00,,,238.00,57.00,145.00,163.00
Licensed practical nurses,New Brunswick,Inflow,Age 55+,21.00,12.00,7.00,26.00,,,12.00,8.00,30.00,23.00
Licensed practical nurses,New Brunswick,Inflow,Age not stated,0.00,0.00,0.00,0.00,,,4.00,0.00,1.00,0.00
Licensed practical nurses,New Brunswick,Outflow,Total,222.00,317.00,255.00,,,544.00,10.00,348.00,594.00,
Licensed practical nurses,New Brunswick,Outflow,Age <35,73.00,108.00,77.00,,,209.00,7.00,168.00,259.00,
Licensed practical nurses,New Brunswick,Outflow,Age 35-54,72.00,91.00,85.00,,,178.00,3.00,101.00,209.00,
Licensed practical nurses,New Brunswick,Outflow,Age 55+,77.00,118.00,93.00,,,157.00,0.00,79.00,125.00,
Licensed practical nurses,New Brunswick,Outflow,Age not stated,0.00,0.00,0.00,,,0.00,0.00,0.00,1.00,
Licensed practical nurses,New Brunswick,Renewal,Total,2905.00,3057.00,3028.00,2997.00,,,2532.00,3412.00,3197.00,3081.00
Licensed practical nurses,New Brunswick,Renewal,Age <35,699.00,778.00,797.00,820.00,,,615.00,1161.00,985.00,950.00
Licensed practical nurses,New Brunswick,Renewal,Age 35-54,1637.00,1686.00,1653.00,1600.00,,,1414.00,1681.00,1635.00,1590.00
Licensed practical nurses,New Brunswick,Renewal,Age 55+,569.00,593.00,578.00,577.00,,,503.00,570.00,577.00,541.00
Licensed practical nurses,New Brunswick,Renewal,Age not stated,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
Licensed practical nurses,New Brunswick,Employment status,Employed in profession,3061.00,3139.00,3145.00,3224.00,,2952.00,3145.00,3278.00,3422.00,3496.00
Licensed practical nurses,New Brunswick,Employment status,Employed in other than profession and seeking employment in profession,2.00,1.00,0.00,0.00,,0.00,13.00,20.00,15.00,31.00
Licensed practical nurses,New Brunswick,Employment status,Employed in other than profession and not seeking employment in profession,2.00,1.00,0.00,0.00,,0.00,8.00,11.00,9.00,20.00
Licensed practical nurses,New Brunswick,Employment status,Not employed and seeking employment in profession,0.00,0.00,0.00,0.00,,0.00,46.00,62.00,32.00,42.00
Licensed practical nurses,New Brunswick,Employment status,Not employed and not seeking employment in profession,0.00,0.00,0.00,0.00,,0.00,34.00,42.00,14.00,25.00
Licensed practical nurses,New Brunswick,Employment status,Not stated,214.00,204.00,107.00,170.00,,124.00,176.00,132.00,183.00,9.00
Licensed practical nurses,New Brunswick,Location of graduation,Canadian educated,3250.00,3309.00,3238.00,3384.00,,3048.00,2893.00,3493.00,3622.00,3559.00
Licensed practical nurses,New Brunswick,Location of graduation,Internationally educated,22.00,22.00,0.00,10.00,,27.00,10.00,18.00,28.00,48.00
Licensed practical nurses,New Brunswick,Location of graduation,Not stated,7.00,14.00,14.00,0.00,,1.00,519.00,34.00,25.00,16.00
Licensed practical nurses,New Brunswick,Years since graduation,<5 years,792.00,752.00,686.00,735.00,,380.00,623.00,795.00,860.00,895.00
Licensed practical nurses,New Brunswick,Years since graduation,5-10 years,754.00,746.00,811.00,848.00,,978.00,723.00,912.00,879.00,792.00
Licensed practical nurses,New Brunswick,Years since graduation,11-20 years,1151.00,1213.00,1088.00,1111.00,,1020.00,823.00,1088.00,1133.00,1145.00
Licensed practical nurses,New Brunswick,Years since graduation,21-30 years,272.00,336.00,396.00,435.00,,474.00,438.00,553.00,580.00,581.00
Licensed practical nurses,New Brunswick,Years since graduation,31+ years,303.00,284.00,270.00,265.00,,224.00,132.00,197.00,204.00,180.00
Licensed practical nurses,New Brunswick,Years since graduation,Not stated,7.00,14.00,1.00,0.00,,0.00,683.00,0.00,19.00,30.00
Licensed practical nurses,Quebec,Supply,Total,28712.00,27854.00,27299.00,27604.00,27844.00,29398.00,28034.00,28495.00,29990.00,31550.00
Licensed practical nurses,Quebec,Age,Age <25,2247.00,1665.00,1450.00,1306.00,1237.00,973.00,907.00,895.00,1152.00,1228.00
Licensed practical nurses,Quebec,Age,Age 25-34,7955.00,7706.00,7433.00,7436.00,7409.00,7692.00,6936.00,6721.00,6716.00,6656.00
Licensed practical nurses,Quebec,Age,Age 35-44,8235.00,8243.00,8279.00,8347.00,8434.00,8868.00,8493.00,8692.00,9147.00,9546.00
Licensed practical nurses,Quebec,Age,Age 45-54,6746.00,6768.00,6741.00,6971.00,7090.00,7515.00,7475.00,7720.00,8215.00,8916.00
Licensed practical nurses,Quebec,Age,Age 55-64,3228.00,3179.00,3106.00,3233.00,3340.00,3883.00,3780.00,3957.00,4187.00,4501.00
Licensed practical nurses,Quebec,Age,Age 65+,301.00,293.00,290.00,311.00,332.00,467.00,443.00,510.00,573.00,703.00
Licensed practical nurses,Quebec,Age,Not stated,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Quebec,Age,Average age,40.10,40.50,40.70,41.00,41.20,41.90,42.20,42.60,42.70,43.00
Licensed practical nurses,Quebec,Sex,Female,25734.00,24977.00,24510.00,24772.00,24968.00,26355.00,25127.00,25507.00,26739.00,27967.00
Licensed practical nurses,Quebec,Sex,Male,2978.00,2877.00,2789.00,2832.00,2876.00,3043.00,2907.00,2988.00,3251.00,3583.00
Licensed practical nurses,Quebec,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Quebec,Inflow,Total,3093.00,1668.00,2234.00,2313.00,2299.00,1697.00,1848.00,2249.00,3627.00,3232.00
Licensed practical nurses,Quebec,Inflow,Age <35,2023.00,1021.00,1445.00,1432.00,1415.00,821.00,1045.00,1148.00,1682.00,1385.00
Licensed practical nurses,Quebec,Inflow,Age 35-54,1034.00,624.00,754.00,815.00,836.00,737.00,731.00,1028.00,1743.00,1673.00
Licensed practical nurses,Quebec,Inflow,Age 55+,36.00,23.00,35.00,66.00,47.00,139.00,72.00,73.00,202.00,174.00
Licensed practical nurses,Quebec,Inflow,Age not stated,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Quebec,Outflow,Total,2526.00,2789.00,2008.00,2059.00,143.00,3212.00,1788.00,2132.00,1672.00,
Licensed practical nurses,Quebec,Outflow,Age <35,1085.00,1167.00,848.00,796.00,18.00,1116.00,675.00,682.00,525.00,
Licensed practical nurses,Quebec,Outflow,Age 35-54,810.00,975.00,709.00,772.00,27.00,1309.00,703.00,894.00,776.00,
Licensed practical nurses,Quebec,Outflow,Age 55+,631.00,647.00,451.00,491.00,98.00,787.00,410.00,556.00,371.00,
Licensed practical nurses,Quebec,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Licensed practical nurses,Quebec,Renewal,Total,25619.00,26186.00,25065.00,25291.00,25545.00,27701.00,26186.00,26246.00,26363.00,28318.00
Licensed practical nurses,Quebec,Renewal,Age <35,8179.00,8350.00,7438.00,7310.00,7231.00,7844.00,6798.00,6468.00,6186.00,6499.00
Licensed practical nurses,Quebec,Renewal,Age 35-54,13947.00,14387.00,14266.00,14503.00,14688.00,15646.00,15237.00,15384.00,15619.00,16789.00
Licensed practical nurses,Quebec,Renewal,Age 55+,3493.00,3449.00,3361.00,3478.00,3625.00,4211.00,4151.00,4394.00,4558.00,5030.00
Licensed practical nurses,Quebec,Renewal,Age not stated,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Quebec,Employment status,Employed in profession,24867.00,24620.00,24169.00,23416.00,24369.00,26005.00,25177.00,24951.00,25460.00,26667.00
Licensed practical nurses,Quebec,Employment status,Employed in other than profession and seeking employment in profession,,,,,,,,,,
Licensed practical nurses,Quebec,Employment status,Employed in other than profession and not seeking employment in profession,,,,,,,,,,
Licensed practical nurses,Quebec,Employment status,Not employed and seeking employment in profession,0.00,2.00,0.00,16.00,20.00,12.00,8.00,8.00,6.00,5.00
Licensed practical nurses,Quebec,Employment status,Not employed and not seeking employment in profession,0.00,0.00,0.00,6.00,4.00,3.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Quebec,Employment status,Not stated,3845.00,3232.00,3130.00,4166.00,3451.00,3378.00,2849.00,3536.00,4524.00,4878.00
Licensed practical nurses,Quebec,Location of graduation,Canadian educated,28670.00,27809.00,27248.00,27575.00,27820.00,29362.00,27976.00,28218.00,29486.00,30842.00
Licensed practical nurses,Quebec,Location of graduation,Internationally educated,20.00,23.00,28.00,28.00,10.00,12.00,28.00,114.00,206.00,276.00
Licensed practical nurses,Quebec,Location of graduation,Not stated,22.00,22.00,23.00,1.00,14.00,24.00,30.00,163.00,298.00,432.00
Licensed practical nurses,Quebec,Years since graduation,<5 years,10372.00,8602.00,7270.00,6479.00,5967.00,4933.00,4423.00,4568.00,5957.00,6900.00
Licensed practical nurses,Quebec,Years since graduation,5-10 years,9407.00,9627.00,9802.00,10135.00,9922.00,10875.00,9570.00,8696.00,7734.00,7149.00
Licensed practical nurses,Quebec,Years since graduation,11-20 years,3665.00,4744.00,5668.00,6594.00,7828.00,9295.00,10195.00,11386.00,12353.00,13169.00
Licensed practical nurses,Quebec,Years since graduation,21-30 years,2215.00,2112.00,2042.00,1988.00,1859.00,1886.00,1777.00,1819.00,1986.00,2389.00
Licensed practical nurses,Quebec,Years since graduation,31+ years,3053.00,2769.00,2517.00,2408.00,2263.00,2403.00,2058.00,1992.00,1919.00,1884.00
Licensed practical nurses,Quebec,Years since graduation,Not stated,0.00,0.00,0.00,0.00,5.00,6.00,11.00,34.00,41.00,59.00
Licensed practical nurses,Ontario,Supply,Total,43656.00,46252.00,48045.00,49968.00,52809.00,54103.00,54984.00,56595.00,58257.00,58476.00
Licensed practical nurses,Ontario,Age,Age <25,2106.00,2205.00,2128.00,2292.00,2761.00,2712.00,2466.00,2640.00,2365.00,2242.00
Licensed practical nurses,Ontario,Age,Age 25-34,12722.00,14186.00,15187.00,15990.00,17107.00,17556.00,17767.00,18148.00,18851.00,18327.00
Licensed practical nurses,Ontario,Age,Age 35-44,10528.00,11157.00,11744.00,12456.00,13405.00,14145.00,15001.00,15931.00,16847.00,17232.00
Licensed practical nurses,Ontario,Age,Age 45-54,9700.00,10041.00,10418.00,10660.00,10860.00,10963.00,11038.00,11138.00,11349.00,11553.00
Licensed practical nurses,Ontario,Age,Age 55-64,7148.00,7152.00,7005.00,6997.00,7107.00,7148.00,7104.00,7057.00,7081.00,7299.00
Licensed practical nurses,Ontario,Age,Age 65+,1452.00,1511.00,1563.00,1573.00,1569.00,1579.00,1608.00,1681.00,1764.00,1823.00
Licensed practical nurses,Ontario,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Ontario,Age,Average age,42.10,41.70,41.50,41.30,40.80,40.80,40.80,40.70,40.70,41.00
Licensed practical nurses,Ontario,Sex,Female,39878.00,42115.00,43666.00,45300.00,47791.00,48872.00,49617.00,50992.00,52502.00,52656.00
Licensed practical nurses,Ontario,Sex,Male,3778.00,4137.00,4379.00,4668.00,5018.00,5231.00,5367.00,5598.00,5746.00,5715.00
Licensed practical nurses,Ontario,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,9.00,105.00
Licensed practical nurses,Ontario,Inflow,Total,4364.00,4716.00,4213.00,4656.00,5751.00,4421.00,4051.00,5316.00,5794.00,5171.00
Licensed practical nurses,Ontario,Inflow,Age <35,2980.00,3205.00,2922.00,3283.00,4230.00,3285.00,2899.00,3784.00,3914.00,3314.00
Licensed practical nurses,Ontario,Inflow,Age 35-54,1311.00,1443.00,1213.00,1295.00,1445.00,1077.00,1097.00,1463.00,1785.00,1742.00
Licensed practical nurses,Ontario,Inflow,Age 55+,73.00,68.00,78.00,78.00,76.00,59.00,55.00,69.00,95.00,115.00
Licensed practical nurses,Ontario,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Ontario,Outflow,Total,2120.00,2420.00,2733.00,2910.00,3127.00,3170.00,3705.00,4132.00,4952.00,
Licensed practical nurses,Ontario,Outflow,Age <35,626.00,783.00,926.00,1068.00,1197.00,1190.00,1478.00,1672.00,2084.00,
Licensed practical nurses,Ontario,Outflow,Age 35-54,613.00,622.00,794.00,904.00,962.00,1018.00,1308.00,1576.00,2080.00,
Licensed practical nurses,Ontario,Outflow,Age 55+,881.00,1015.00,1013.00,938.00,968.00,962.00,919.00,884.00,788.00,
Licensed practical nurses,Ontario,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Licensed practical nurses,Ontario,Renewal,Total,39292.00,41536.00,43832.00,45312.00,47058.00,49682.00,50933.00,51279.00,52463.00,53305.00
Licensed practical nurses,Ontario,Renewal,Age <35,11848.00,13186.00,14393.00,14999.00,15638.00,16983.00,17334.00,17004.00,17302.00,17255.00
Licensed practical nurses,Ontario,Renewal,Age 35-54,18917.00,19755.00,20949.00,21821.00,22820.00,24031.00,24942.00,25606.00,26411.00,27043.00
Licensed practical nurses,Ontario,Renewal,Age 55+,8527.00,8595.00,8490.00,8492.00,8600.00,8668.00,8657.00,8669.00,8750.00,9007.00
Licensed practical nurses,Ontario,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Ontario,Employment status,Employed in profession,39069.00,41468.00,43053.00,45267.00,47729.00,49061.00,49781.00,51369.00,52686.00,53462.00
Licensed practical nurses,Ontario,Employment status,Employed in other than profession and seeking employment in profession,976.00,1081.00,1129.00,934.00,1129.00,980.00,726.00,619.00,639.00,639.00
Licensed practical nurses,Ontario,Employment status,Employed in other than profession and not seeking employment in profession,194.00,180.00,153.00,161.00,156.00,188.00,213.00,228.00,267.00,248.00
Licensed practical nurses,Ontario,Employment status,Not employed and seeking employment in profession,1989.00,2052.00,1960.00,1780.00,2057.00,1786.00,1702.00,1800.00,1983.00,1887.00
Licensed practical nurses,Ontario,Employment status,Not employed and not seeking employment in profession,327.00,440.00,372.00,366.00,368.00,372.00,461.00,439.00,482.00,389.00
Licensed practical nurses,Ontario,Employment status,Not stated,1101.00,1031.00,1378.00,1460.00,1370.00,1716.00,2101.00,2140.00,2200.00,1851.00
Licensed practical nurses,Ontario,Location of graduation,Canadian educated,39520.00,41386.00,42662.00,44284.00,46695.00,47704.00,48372.00,49471.00,50074.00,51143.00
Licensed practical nurses,Ontario,Location of graduation,Internationally educated,4029.00,4738.00,5267.00,5683.00,6114.00,6396.00,6610.00,7124.00,8183.00,7333.00
Licensed practical nurses,Ontario,Location of graduation,Not stated,107.00,128.00,116.00,1.00,0.00,3.00,2.00,0.00,0.00,0.00
Licensed practical nurses,Ontario,Years since graduation,<5 years,11418.00,11645.00,11522.00,11823.00,13079.00,12772.00,11907.00,12013.00,11145.00,11144.00
Licensed practical nurses,Ontario,Years since graduation,5-10 years,12488.00,13955.00,14978.00,15852.00,16527.00,16862.00,17420.00,17299.00,18318.00,17990.00
Licensed practical nurses,Ontario,Years since graduation,11-20 years,7475.00,8517.00,9599.00,10604.00,11825.00,13500.00,14955.00,16773.00,18358.00,19236.00
Licensed practical nurses,Ontario,Years since graduation,21-30 years,6297.00,6312.00,6539.00,6599.00,6465.00,6260.00,6165.00,5897.00,5757.00,5402.00
Licensed practical nurses,Ontario,Years since graduation,31+ years,5845.00,5737.00,5332.00,5073.00,4896.00,4693.00,4526.00,4613.00,4679.00,4704.00
Licensed practical nurses,Ontario,Years since graduation,Not stated,133.00,86.00,75.00,17.00,17.00,16.00,11.00,0.00,0.00,0.00
Licensed practical nurses,Manitoba,Supply,Total,3202.00,3235.00,3313.00,3373.00,3518.00,3562.00,3693.00,3667.00,3784.00,3647.00
Licensed practical nurses,Manitoba,Age,Age <25,78.00,92.00,101.00,98.00,108.00,91.00,74.00,62.00,60.00,69.00
Licensed practical nurses,Manitoba,Age,Age 25-34,705.00,750.00,811.00,876.00,982.00,1007.00,1020.00,951.00,938.00,844.00
Licensed practical nurses,Manitoba,Age,Age 35-44,830.00,826.00,837.00,863.00,885.00,941.00,1055.00,1087.00,1188.00,1165.00
Licensed practical nurses,Manitoba,Age,Age 45-54,770.00,786.00,810.00,824.00,840.00,860.00,857.00,876.00,894.00,878.00
Licensed practical nurses,Manitoba,Age,Age 55-64,643.00,622.00,594.00,558.00,549.00,515.00,520.00,528.00,540.00,535.00
Licensed practical nurses,Manitoba,Age,Age 65+,176.00,159.00,160.00,154.00,154.00,148.00,167.00,163.00,164.00,156.00
Licensed practical nurses,Manitoba,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Manitoba,Age,Average age,44.80,44.40,44.00,43.50,43.10,42.90,42.80,43.20,43.10,43.40
Licensed practical nurses,Manitoba,Sex,Female,2920.00,2933.00,2991.00,3016.00,3132.00,3161.00,3271.00,3238.00,3331.00,3228.00
Licensed practical nurses,Manitoba,Sex,Male,282.00,302.00,322.00,357.00,386.00,401.00,422.00,425.00,442.00,419.00
Licensed practical nurses,Manitoba,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,11.00,0.00
Licensed practical nurses,Manitoba,Inflow,Total,289.00,266.00,277.00,290.00,351.00,262.00,303.00,214.00,359.00,260.00
Licensed practical nurses,Manitoba,Inflow,Age <35,199.00,176.00,200.00,193.00,253.00,170.00,187.00,136.00,191.00,160.00
Licensed practical nurses,Manitoba,Inflow,Age 35-54,85.00,85.00,75.00,91.00,92.00,89.00,113.00,76.00,163.00,97.00
Licensed practical nurses,Manitoba,Inflow,Age 55+,5.00,5.00,2.00,6.00,6.00,3.00,3.00,2.00,5.00,3.00
Licensed practical nurses,Manitoba,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licensed practical nurses,Manitoba,Outflow,Total,233.00,199.00,230.00,206.00,218.00,172.00,240.00,242.00,397.00,
Licensed practical nurses,Manitoba,Outflow,Age <35,58.00,46.00,57.00,67.00,56.00,50.00,86.00,81.00,116.00,
Licensed practical nurses,Manitoba,Outflow,Age 35-54,65.00,68.00,59.00,55.00,64.00,62.00,93.00,84.00,199.00,
Licensed practical nurses,Manitoba,Outflow,Age 55+,110.00,85.00,114.00,84.00,98.00,60.00,61.00,77.00,82.00,
Licensed practical nurses,Manitoba,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Licensed practical nurses,Manitoba,Renewal,Total,2913.00,2969.00,3036.00,3083.00,3167.00,3300.00,3390.00,3453.00,3425.00,3387.00
Licensed practical nurses,Manitoba,Renewal,Age <35,584.00,666.00,712.00,781.00,837.00,928.00,907.00,877.00,807.00,753.00
Licensed practical nurses,Manitoba,Renewal,Age 35-54,1515.00,1527.00,1572.00,1596.00,1633.00,1712.00,1799.00,1887.00,1919.00,1946.00
Licensed practical nurses,Manitoba,Renewal,Age 55+,814.00,776.00,752.00,706.00,697.00,660.00,684.00,689.00,699.00,688.00
