Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Licensed practical nurses,Quebec,Employment status,Employed in other than profession and not seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Licensed practical nurses,Quebec,Employment status,Not employed and seeking employment in profession,0,2,0,16,20,12,8,8,6,5,
Licensed practical nurses,Quebec,Employment status,Not employed and not seeking employment in profession,0,0,0,6,4,3,0,0,0,0,
Licensed practical nurses,Quebec,Employment status,Not stated,"3,845","3,232","3,130","4,166","3,451","3,378","2,849","3,536","4,524","4,878",
Licensed practical nurses,Quebec,Location of graduation,Canadian educated,"28,670","27,809","27,248","27,575","27,820","29,362","27,976","28,218","29,486","30,842",
Licensed practical nurses,Quebec,Location of graduation,Internationally educated,20,23,28,28,10,12,28,114,206,276,
Licensed practical nurses,Quebec,Location of graduation,Not stated,22,22,23,1,14,24,30,163,298,432,
Licensed practical nurses,Quebec,Years since graduation,<5 years,"10,372","8,602","7,270","6,479","5,967","4,933","4,423","4,568","5,957","6,900",
Licensed practical nurses,Quebec,Years since graduation,5–10 years,"9,407","9,627","9,802","10,135","9,922","10,875","9,570","8,696","7,734","7,149",
Licensed practical nurses,Quebec,Years since graduation,11–20 years,"3,665","4,744","5,668","6,594","7,828","9,295","10,195","11,386","12,353","13,169",
Licensed practical nurses,Quebec,Years since graduation,21–30 years,"2,215","2,112","2,042","1,988","1,859","1,886","1,777","1,819","1,986","2,389",
Licensed practical nurses,Quebec,Years since graduation,31+ years,"3,053","2,769","2,517","2,408","2,263","2,403","2,058","1,992","1,919","1,884",
Licensed practical nurses,Quebec,Years since graduation,Not stated,0,0,0,0,5,6,11,34,41,59,
Licensed practical nurses,Ontario,Supply,Total,"43,656","46,252","48,045","49,968","52,809","54,103","54,984","56,595","58,257","58,476",
Licensed practical nurses,Ontario,Age,Age <25,"2,106","2,205","2,128","2,292","2,761","2,712","2,466","2,640","2,365","2,242",
Licensed practical nurses,Ontario,Age,Age 25–34,"12,722","14,186","15,187","15,990","17,107","17,556","17,767","18,148","18,851","18,327",
Licensed practical nurses,Ontario,Age,Age 35–44,"10,528","11,157","11,744","12,456","13,405","14,145","15,001","15,931","16,847","17,232",
Licensed practical nurses,Ontario,Age,Age 45–54,"9,700","10,041","10,418","10,660","10,860","10,963","11,038","11,138","11,349","11,553",
Licensed practical nurses,Ontario,Age,Age 55–64,"7,148","7,152","7,005","6,997","7,107","7,148","7,104","7,057","7,081","7,299",
Licensed practical nurses,Ontario,Age,Age 65+,"1,452","1,511","1,563","1,573","1,569","1,579","1,608","1,681","1,764","1,823",
Licensed practical nurses,Ontario,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Ontario,Age,Average age,42.1,41.7,41.5,41.3,40.8,40.8,40.8,40.7,40.7,41.0,
Licensed practical nurses,Ontario,Sex,Female,"39,878","42,115","43,666","45,300","47,791","48,872","49,617","50,992","52,502","52,656",
Licensed practical nurses,Ontario,Sex,Male,"3,778","4,137","4,379","4,668","5,018","5,231","5,367","5,598","5,746","5,715",
Licensed practical nurses,Ontario,Sex,Not stated,0,0,0,0,0,0,0,5,9,105,
Licensed practical nurses,Ontario,Inflow,Total,"4,364","4,716","4,213","4,656","5,751","4,421","4,051","5,316","5,794","5,171",
Licensed practical nurses,Ontario,Inflow,Age <35,"2,980","3,205","2,922","3,283","4,230","3,285","2,899","3,784","3,914","3,314",
Licensed practical nurses,Ontario,Inflow,Age 35–54,"1,311","1,443","1,213","1,295","1,445","1,077","1,097","1,463","1,785","1,742",
Licensed practical nurses,Ontario,Inflow,Age 55+,73,68,78,78,76,59,55,69,95,115,
Licensed practical nurses,Ontario,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Ontario,Outflow,Total,"2,120","2,420","2,733","2,910","3,127","3,170","3,705","4,132","4,952",—,
Licensed practical nurses,Ontario,Outflow,Age <35,626,783,926,"1,068","1,197","1,190","1,478","1,672","2,084",—,
Licensed practical nurses,Ontario,Outflow,Age 35–54,613,622,794,904,962,"1,018","1,308","1,576","2,080",—,
Licensed practical nurses,Ontario,Outflow,Age 55+,881,"1,015","1,013",938,968,962,919,884,788,—,
Licensed practical nurses,Ontario,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Licensed practical nurses,Ontario,Renewal,Total,"39,292","41,536","43,832","45,312","47,058","49,682","50,933","51,279","52,463","53,305",
Licensed practical nurses,Ontario,Renewal,Age <35,"11,848","13,186","14,393","14,999","15,638","16,983","17,334","17,004","17,302","17,255",
Licensed practical nurses,Ontario,Renewal,Age 35–54,"18,917","19,755","20,949","21,821","22,820","24,031","24,942","25,606","26,411","27,043",
Licensed practical nurses,Ontario,Renewal,Age 55+,"8,527","8,595","8,490","8,492","8,600","8,668","8,657","8,669","8,750","9,007",
Licensed practical nurses,Ontario,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Ontario,Employment status,Employed in profession,"39,069","41,468","43,053","45,267","47,729","49,061","49,781","51,369","52,686","53,462",
Licensed practical nurses,Ontario,Employment status,Employed in other than profession and seeking employment in profession,976,"1,081","1,129",934,"1,129",980,726,619,639,639,
Licensed practical nurses,Ontario,Employment status,Employed in other than profession and not seeking employment in profession,194,180,153,161,156,188,213,228,267,248,
Licensed practical nurses,Ontario,Employment status,Not employed and seeking employment in profession,"1,989","2,052","1,960","1,780","2,057","1,786","1,702","1,800","1,983","1,887",
Licensed practical nurses,Ontario,Employment status,Not employed and not seeking employment in profession,327,440,372,366,368,372,461,439,482,389,
Licensed practical nurses,Ontario,Employment status,Not stated,"1,101","1,031","1,378","1,460","1,370","1,716","2,101","2,140","2,200","1,851",
Licensed practical nurses,Ontario,Location of graduation,Canadian educated,"39,520","41,386","42,662","44,284","46,695","47,704","48,372","49,471","50,074","51,143",
Licensed practical nurses,Ontario,Location of graduation,Internationally educated,"4,029","4,738","5,267","5,683","6,114","6,396","6,610","7,124","8,183","7,333",
Licensed practical nurses,Ontario,Location of graduation,Not stated,107,128,116,1,0,3,2,0,0,0,
Licensed practical nurses,Ontario,Years since graduation,<5 years,"11,418","11,645","11,522","11,823","13,079","12,772","11,907","12,013","11,145","11,144",
Licensed practical nurses,Ontario,Years since graduation,5–10 years,"12,488","13,955","14,978","15,852","16,527","16,862","17,420","17,299","18,318","17,990",
Licensed practical nurses,Ontario,Years since graduation,11–20 years,"7,475","8,517","9,599","10,604","11,825","13,500","14,955","16,773","18,358","19,236",
Licensed practical nurses,Ontario,Years since graduation,21–30 years,"6,297","6,312","6,539","6,599","6,465","6,260","6,165","5,897","5,757","5,402",
Licensed practical nurses,Ontario,Years since graduation,31+ years,"5,845","5,737","5,332","5,073","4,896","4,693","4,526","4,613","4,679","4,704",
Licensed practical nurses,Ontario,Years since graduation,Not stated,133,86,75,17,17,16,11,0,0,0,
Licensed practical nurses,Manitoba,Supply,Total,"3,202","3,235","3,313","3,373","3,518","3,562","3,693","3,667","3,784","3,647",
Licensed practical nurses,Manitoba,Age,Age <25,78,92,101,98,108,91,74,62,60,69,
Licensed practical nurses,Manitoba,Age,Age 25–34,705,750,811,876,982,"1,007","1,020",951,938,844,
Licensed practical nurses,Manitoba,Age,Age 35–44,830,826,837,863,885,941,"1,055","1,087","1,188","1,165",
Licensed practical nurses,Manitoba,Age,Age 45–54,770,786,810,824,840,860,857,876,894,878,
Licensed practical nurses,Manitoba,Age,Age 55–64,643,622,594,558,549,515,520,528,540,535,
Licensed practical nurses,Manitoba,Age,Age 65+,176,159,160,154,154,148,167,163,164,156,
Licensed practical nurses,Manitoba,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Manitoba,Age,Average age,44.8,44.4,44.0,43.5,43.1,42.9,42.8,43.2,43.1,43.4,
Licensed practical nurses,Manitoba,Sex,Female,"2,920","2,933","2,991","3,016","3,132","3,161","3,271","3,238","3,331","3,228",
Licensed practical nurses,Manitoba,Sex,Male,282,302,322,357,386,401,422,425,442,419,
Licensed practical nurses,Manitoba,Sex,Not stated,0,0,0,0,0,0,0,4,11,0,
Licensed practical nurses,Manitoba,Inflow,Total,289,266,277,290,351,262,303,214,359,260,
Licensed practical nurses,Manitoba,Inflow,Age <35,199,176,200,193,253,170,187,136,191,160,
Licensed practical nurses,Manitoba,Inflow,Age 35–54,85,85,75,91,92,89,113,76,163,97,
Licensed practical nurses,Manitoba,Inflow,Age 55+,5,5,2,6,6,3,3,2,5,3,
Licensed practical nurses,Manitoba,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Manitoba,Outflow,Total,233,199,230,206,218,172,240,242,397,—,
Licensed practical nurses,Manitoba,Outflow,Age <35,58,46,57,67,56,50,86,81,116,—,
Licensed practical nurses,Manitoba,Outflow,Age 35–54,65,68,59,55,64,62,93,84,199,—,
Licensed practical nurses,Manitoba,Outflow,Age 55+,110,85,114,84,98,60,61,77,82,—,
Licensed practical nurses,Manitoba,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Licensed practical nurses,Manitoba,Renewal,Total,"2,913","2,969","3,036","3,083","3,167","3,300","3,390","3,453","3,425","3,387",
Licensed practical nurses,Manitoba,Renewal,Age <35,584,666,712,781,837,928,907,877,807,753,
Licensed practical nurses,Manitoba,Renewal,Age 35–54,"1,515","1,527","1,572","1,596","1,633","1,712","1,799","1,887","1,919","1,946",
Licensed practical nurses,Manitoba,Renewal,Age 55+,814,776,752,706,697,660,684,689,699,688,
Licensed practical nurses,Manitoba,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Manitoba,Employment status,Employed in profession,"3,032","3,103","3,171","3,229","3,376","3,402","3,595","3,524","3,534","3,525",
Licensed practical nurses,Manitoba,Employment status,Employed in other than profession and seeking employment in profession,12,13,22,22,25,18,11,11,12,10,
Licensed practical nurses,Manitoba,Employment status,Employed in other than profession and not seeking employment in profession,0,2,1,2,2,1,5,14,5,6,
Licensed practical nurses,Manitoba,Employment status,Not employed and seeking employment in profession,33,74,97,92,92,117,55,83,150,73,
Licensed practical nurses,Manitoba,Employment status,Not employed and not seeking employment in profession,22,43,22,28,23,24,27,26,38,25,
Licensed practical nurses,Manitoba,Employment status,Not stated,103,0,0,0,0,0,0,9,45,8,
Licensed practical nurses,Manitoba,Location of graduation,Canadian educated,"2,854","2,874","2,915","2,872","2,928","2,906","3,023","3,031","3,063","3,050",
Licensed practical nurses,Manitoba,Location of graduation,Internationally educated,322,360,395,501,590,656,670,636,721,597,
Licensed practical nurses,Manitoba,Location of graduation,Not stated,26,1,3,0,0,0,0,0,0,0,
Licensed practical nurses,Manitoba,Years since graduation,<5 years,615,644,682,677,634,629,664,666,618,661,
Licensed practical nurses,Manitoba,Years since graduation,5–10 years,839,845,838,847,969,937,895,846,912,839,
Licensed practical nurses,Manitoba,Years since graduation,11–20 years,715,802,896,"1,025","1,140","1,270","1,374","1,395","1,447","1,318",
Licensed practical nurses,Manitoba,Years since graduation,21–30 years,418,388,378,354,322,316,351,358,418,448,
Licensed practical nurses,Manitoba,Years since graduation,31+ years,615,556,519,470,453,410,409,402,389,381,
Licensed practical nurses,Manitoba,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Saskatchewan,Supply,Total,"3,503","3,526","3,630","3,649","3,700","3,770","3,683","3,737","3,920","3,910",
Licensed practical nurses,Saskatchewan,Age,Age <25,201,171,171,132,137,125,96,91,115,103,
Licensed practical nurses,Saskatchewan,Age,Age 25–34,"1,239","1,268","1,315","1,327","1,285","1,231","1,111","1,009","1,029",942,
Licensed practical nurses,Saskatchewan,Age,Age 35–44,847,900,955,"1,029","1,141","1,251","1,297","1,438","1,531","1,565",
Licensed practical nurses,Saskatchewan,Age,Age 45–54,642,639,647,624,601,617,652,710,767,828,
Licensed practical nurses,Saskatchewan,Age,Age 55–64,524,501,490,485,471,470,453,412,406,394,
Licensed practical nurses,Saskatchewan,Age,Age 65+,50,47,52,52,65,76,74,77,72,78,
Licensed practical nurses,Saskatchewan,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Saskatchewan,Age,Average age,40.0,40.0,40.0,40.0,40.0,40.3,40.8,41.0,40.9,41.2,
Licensed practical nurses,Saskatchewan,Sex,Female,"3,311","3,305","3,403","3,405","3,447","3,509","3,441","3,487","3,652","3,654",
Licensed practical nurses,Saskatchewan,Sex,Male,192,221,227,244,253,261,242,250,267,254,
Licensed practical nurses,Saskatchewan,Sex,Not stated,0,0,0,0,0,0,0,0,1,2,
Licensed practical nurses,Saskatchewan,Inflow,Total,424,297,404,362,427,381,287,465,530,471,
Licensed practical nurses,Saskatchewan,Inflow,Age <35,335,220,311,265,301,237,186,261,317,252,
Licensed practical nurses,Saskatchewan,Inflow,Age 35–54,86,73,86,91,113,131,92,191,199,212,
Licensed practical nurses,Saskatchewan,Inflow,Age 55+,3,4,7,6,13,13,9,13,14,7,
Licensed practical nurses,Saskatchewan,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Saskatchewan,Outflow,Total,274,300,343,376,311,374,411,347,481,—,
Licensed practical nurses,Saskatchewan,Outflow,Age <35,120,161,161,201,169,192,206,145,199,—,
Licensed practical nurses,Saskatchewan,Outflow,Age 35–54,63,70,87,99,78,109,111,124,215,—,
Licensed practical nurses,Saskatchewan,Outflow,Age 55+,91,69,95,76,64,73,94,78,67,—,
Licensed practical nurses,Saskatchewan,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Licensed practical nurses,Saskatchewan,Renewal,Total,"3,079","3,229","3,226","3,287","3,273","3,389","3,396","3,272","3,390","3,439",
Licensed practical nurses,Saskatchewan,Renewal,Age <35,"1,105","1,219","1,175","1,194","1,121","1,119","1,021",839,827,793,
Licensed practical nurses,Saskatchewan,Renewal,Age 35–54,"1,403","1,466","1,516","1,562","1,629","1,737","1,857","1,957","2,099","2,181",
Licensed practical nurses,Saskatchewan,Renewal,Age 55+,571,544,535,531,523,533,518,476,464,465,
Licensed practical nurses,Saskatchewan,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Saskatchewan,Employment status,Employed in profession,"3,230","3,389","3,392","3,406","3,038","3,633","3,525","3,541","3,657","3,728",
Licensed practical nurses,Saskatchewan,Employment status,Employed in other than profession and seeking employment in profession,119,54,94,76,19,10,20,10,19,11,
Licensed practical nurses,Saskatchewan,Employment status,Employed in other than profession and not seeking employment in profession,2,4,8,5,2,7,5,4,0,4,
Licensed practical nurses,Saskatchewan,Employment status,Not employed and seeking employment in profession,136,72,132,154,636,104,126,166,236,152,
Licensed practical nurses,Saskatchewan,Employment status,Not employed and not seeking employment in profession,6,4,4,7,3,16,7,3,4,15,
Licensed practical nurses,Saskatchewan,Employment status,Not stated,10,3,0,1,2,0,0,13,4,0,
Licensed practical nurses,Saskatchewan,Location of graduation,Canadian educated,"3,206","3,196","3,256","3,240","3,267","3,346","3,282","3,287","3,437","3,508",
Licensed practical nurses,Saskatchewan,Location of graduation,Internationally educated,297,330,374,409,433,424,401,450,483,402,
Licensed practical nurses,Saskatchewan,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Saskatchewan,Years since graduation,<5 years,994,921,887,837,784,761,658,682,711,729,
Licensed practical nurses,Saskatchewan,Years since graduation,5–10 years,"1,138","1,174","1,219","1,224","1,183","1,158","1,081","1,014","1,021",992,
Licensed practical nurses,Saskatchewan,Years since graduation,11–20 years,631,756,892,"1,026","1,184","1,317","1,399","1,485","1,633","1,594",
Licensed practical nurses,Saskatchewan,Years since graduation,21–30 years,241,229,215,201,206,218,268,311,329,394,
Licensed practical nurses,Saskatchewan,Years since graduation,31+ years,499,446,417,361,343,316,277,245,226,201,
Licensed practical nurses,Saskatchewan,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Alberta,Supply,Total,"12,330","13,261","13,958","14,805","15,513","15,902","16,498","17,251","18,166","18,236",
Licensed practical nurses,Alberta,Age,Age <25,"1,062","1,072","1,041","1,072","1,074",976,997,"1,020","1,068","1,127",
Licensed practical nurses,Alberta,Age,Age 25–34,"4,455","4,931","5,247","5,500","5,675","5,662","5,645","5,730","5,897","5,874",
Licensed practical nurses,Alberta,Age,Age 35–44,"3,059","3,331","3,633","4,060","4,436","4,770","5,224","5,641","6,089","5,940",
Licensed practical nurses,Alberta,Age,Age 45–54,"1,967","2,132","2,206","2,336","2,478","2,628","2,794","3,036","3,233","3,380",
Licensed practical nurses,Alberta,Age,Age 55–64,"1,455","1,443","1,491","1,506","1,501","1,513","1,478","1,465","1,546","1,554",
Licensed practical nurses,Alberta,Age,Age 65+,332,352,340,331,349,353,360,359,333,361,
Licensed practical nurses,Alberta,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Alberta,Age,Average age,39.0,38.8,38.7,38.7,38.7,38.9,39.0,39.1,39.1,39.2,
Licensed practical nurses,Alberta,Sex,Female,"11,429","12,245","12,850","13,625","14,245","14,624","15,186","15,871","16,699","16,764",
Licensed practical nurses,Alberta,Sex,Male,901,"1,016","1,108","1,180","1,268","1,278","1,309","1,380","1,467","1,472",
Licensed practical nurses,Alberta,Sex,Not stated,0,0,0,0,0,0,3,0,0,0,
Licensed practical nurses,Alberta,Inflow,Total,"1,846","1,721","1,671","1,720","1,711","1,334","1,544","1,922","2,223","2,090",
Licensed practical nurses,Alberta,Inflow,Age <35,"1,292","1,238","1,202","1,222","1,211",896,"1,035","1,228","1,374","1,291",
Licensed practical nurses,Alberta,Inflow,Age 35–54,519,455,438,472,476,413,479,663,800,754,
Licensed practical nurses,Alberta,Inflow,Age 55+,35,28,31,26,24,25,30,31,49,45,
Licensed practical nurses,Alberta,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Alberta,Outflow,Total,790,974,873,"1,003",945,948,"1,169","1,308","2,020",—,
Licensed practical nurses,Alberta,Outflow,Age <35,391,505,445,499,452,431,503,535,673,—,
Licensed practical nurses,Alberta,Outflow,Age 35–54,215,272,236,308,306,307,446,560,"1,142",—,
Licensed practical nurses,Alberta,Outflow,Age 55+,184,197,192,196,187,210,220,213,205,—,
Licensed practical nurses,Alberta,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Licensed practical nurses,Alberta,Renewal,Total,"10,484","11,540","12,287","13,085","13,802","14,568","14,954","15,329","15,943","16,146",
Licensed practical nurses,Alberta,Renewal,Age <35,"4,225","4,765","5,086","5,350","5,538","5,742","5,607","5,522","5,591","5,710",
Licensed practical nurses,Alberta,Renewal,Age 35–54,"4,507","5,008","5,401","5,924","6,438","6,985","7,539","8,014","8,522","8,566",
Licensed practical nurses,Alberta,Renewal,Age 55+,"1,752","1,767","1,800","1,811","1,826","1,841","1,808","1,793","1,830","1,870",
Licensed practical nurses,Alberta,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Alberta,Employment status,Employed in profession,"10,801","11,631","12,272","12,324","13,546","14,407","15,159","15,511","16,094","16,140",
Licensed practical nurses,Alberta,Employment status,Employed in other than profession and seeking employment in profession,75,77,103,229,276,208,66,70,110,41,
Licensed practical nurses,Alberta,Employment status,Employed in other than profession and not seeking employment in profession,11,15,12,10,54,45,18,19,28,11,
Licensed practical nurses,Alberta,Employment status,Not employed and seeking employment in profession,"1,413","1,500","1,535","2,202","1,571","1,184","1,197","1,593","1,845","2,013",
Licensed practical nurses,Alberta,Employment status,Not employed and not seeking employment in profession,30,38,36,40,66,58,58,58,89,31,
Licensed practical nurses,Alberta,Employment status,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Alberta,Location of graduation,Canadian educated,"11,576","12,422","12,950","13,705","14,365","14,803","15,428","16,280","17,295","17,567",
Licensed practical nurses,Alberta,Location of graduation,Internationally educated,754,839,"1,008","1,100","1,148","1,099","1,070",971,871,669,
Licensed practical nurses,Alberta,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,Alberta,Years since graduation,<5 years,"5,303","5,675","5,722","5,755","5,703","5,364","5,176","5,396","5,900","5,877",
Licensed practical nurses,Alberta,Years since graduation,5–10 years,"3,348","3,586","4,115","4,791","5,273","5,678","6,078","6,225","6,064","5,659",
Licensed practical nurses,Alberta,Years since graduation,11–20 years,"1,798","2,171","2,416","2,607","2,933","3,297","3,708","4,083","4,612","4,994",
Licensed practical nurses,Alberta,Years since graduation,21–30 years,794,792,717,701,717,732,750,825,917,"1,055",
Licensed practical nurses,Alberta,Years since graduation,31+ years,"1,087","1,037",988,951,887,831,786,722,673,651,
Licensed practical nurses,Alberta,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,British Columbia,Supply,Total,"11,619","11,775","11,982","12,152","12,351","12,769","13,409","13,627","13,883","14,377",
Licensed practical nurses,British Columbia,Age,Age <25,560,480,492,495,567,606,660,691,668,667,
Licensed practical nurses,British Columbia,Age,Age 25–34,"3,542","3,610","3,627","3,599","3,585","3,672","3,849","3,940","3,990","4,069",
Licensed practical nurses,British Columbia,Age,Age 35–44,"3,069","3,179","3,296","3,412","3,497","3,636","3,869","3,919","4,002","4,125",
Licensed practical nurses,British Columbia,Age,Age 45–54,"2,623","2,645","2,645","2,688","2,689","2,742","2,876","2,937","2,990","3,127",
Licensed practical nurses,British Columbia,Age,Age 55–64,"1,615","1,631","1,682","1,705","1,728","1,794","1,832","1,806","1,846","1,946",
Licensed practical nurses,British Columbia,Age,Age 65+,210,230,240,253,285,319,323,334,387,443,
Licensed practical nurses,British Columbia,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,British Columbia,Age,Average age,41.0,41.1,41.2,41.4,41.3,41.4,41.2,41.1,41.3,41.5,
Licensed practical nurses,British Columbia,Sex,Female,"10,442","10,591","10,783","10,942","11,101","11,453","12,036","12,223","12,453","12,891",
Licensed practical nurses,British Columbia,Sex,Male,"1,177","1,184","1,199","1,210","1,250","1,316","1,373","1,404","1,430","1,486",
Licensed practical nurses,British Columbia,Sex,Not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,British Columbia,Inflow,Total,"1,699","1,012","1,060",942,"1,103","1,451","1,433","1,229","1,232","1,272",
Licensed practical nurses,British Columbia,Inflow,Age <35,"1,047",648,711,623,764,878,926,877,822,835,
Licensed practical nurses,British Columbia,Inflow,Age 35–54,568,337,317,292,315,508,468,316,373,397,
Licensed practical nurses,British Columbia,Inflow,Age 55+,84,27,32,27,24,65,39,36,37,40,
Licensed practical nurses,British Columbia,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,British Columbia,Outflow,Total,856,853,772,904,"1,033",793,"1,011",976,778,—,
Licensed practical nurses,British Columbia,Outflow,Age <35,340,346,316,341,404,319,368,411,342,—,
Licensed practical nurses,British Columbia,Outflow,Age 35–54,318,293,256,352,423,247,380,376,299,—,
Licensed practical nurses,British Columbia,Outflow,Age 55+,198,214,200,211,206,227,263,189,137,—,
Licensed practical nurses,British Columbia,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Licensed practical nurses,British Columbia,Renewal,Total,"9,920","10,763","10,922","11,210","11,248","11,318","11,976","12,398","12,651","13,105",
Licensed practical nurses,British Columbia,Renewal,Age <35,"3,055","3,442","3,408","3,471","3,388","3,400","3,583","3,754","3,836","3,901",
Licensed practical nurses,British Columbia,Renewal,Age 35–54,"5,124","5,487","5,624","5,808","5,871","5,870","6,277","6,540","6,619","6,855",
Licensed practical nurses,British Columbia,Renewal,Age 55+,"1,741","1,834","1,890","1,931","1,989","2,048","2,116","2,104","2,196","2,349",
Licensed practical nurses,British Columbia,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Licensed practical nurses,British Columbia,Employment status,Employed in profession,"10,483","10,832","10,657","11,514","11,821","11,814","12,806","13,144","13,239","13,771",
Licensed practical nurses,British Columbia,Employment status,Employed in other than profession and seeking employment in profession,82,214,137,63,38,97,131,90,125,116,
Licensed practical nurses,British Columbia,Employment status,Employed in other than profession and not seeking employment in profession,27,25,22,39,19,13,28,24,32,35,
Licensed practical nurses,British Columbia,Employment status,Not employed and seeking employment in profession,43,155,103,82,51,102,147,122,155,111,
Licensed practical nurses,British Columbia,Employment status,Not employed and not seeking employment in profession,37,57,34,49,33,28,50,53,51,39,
Licensed practical nurses,British Columbia,Employment status,Not stated,947,492,"1,029",405,389,715,247,194,281,305,
Licensed practical nurses,British Columbia,Location of graduation,Canadian educated,"10,747","11,019","11,243","9,276","9,699","10,299","11,150","11,548","11,937","14,013",
Licensed practical nurses,British Columbia,Location of graduation,Internationally educated,134,164,161,29,15,17,22,28,31,245,
Licensed practical nurses,British Columbia,Location of graduation,Not stated,738,592,578,"2,847","2,637","2,453","2,237","2,051","1,915",119,
Licensed practical nurses,British Columbia,Years since graduation,<5 years,"3,316","2,711","2,341","2,417","2,802","3,129","3,394","3,475","3,512","3,530",
Licensed practical nurses,British Columbia,Years since graduation,5–10 years,"4,955","5,386","5,492","5,137","4,494","4,147","3,734","3,389","3,130","3,667",
Licensed practical nurses,British Columbia,Years since graduation,11–20 years,"1,608","2,047","2,337","1,606","2,315","2,936","3,654","4,327","4,920","5,835",
Licensed practical nurses,British Columbia,Years since graduation,21–30 years,564,576,531,68,73,76,76,76,96,847,
Licensed practical nurses,British Columbia,Years since graduation,31+ years,863,801,711,85,80,73,61,53,53,458,
Licensed practical nurses,British Columbia,Years since graduation,Not stated,313,254,570,"2,839","2,587","2,408","2,490","2,307","2,172",40,
Licensed practical nurses,Yukon,Supply,Total,112,115,134,195,225,227,245,254,254,289,
Licensed practical nurses,Yukon,Age,Age <25,5,5,—,9,—,—,11,—,—,—,
Licensed practical nurses,Yukon,Age,Age 25–34,34,39,—,64,—,—,96,—,—,—,
Licensed practical nurses,Yukon,Age,Age 35–44,22,21,—,47,—,—,66,—,—,—,
Licensed practical nurses,Yukon,Age,Age 45–54,23,24,—,36,—,—,43,—,—,—,
Licensed practical nurses,Yukon,Age,Age 55–64,25,24,—,30,—,—,27,—,—,—,
Licensed practical nurses,Yukon,Age,Age 65+,x,x,—,9,—,—,x,—,—,—,
Licensed practical nurses,Yukon,Age,Not stated,x,x,—,0,—,—,x,—,—,—,
Licensed practical nurses,Yukon,Age,Average age,42.9,42.5,—,41.3,—,—,40.0,—,—,—,—
Licensed practical nurses,Yukon,Sex,Female,105,105,120,168,—,—,174,—,—,—,
Licensed practical nurses,Yukon,Sex,Male,7,10,14,27,—,—,41,—,—,—,
Licensed practical nurses,Yukon,Sex,Not stated,0,0,0,0,—,—,30,—,—,—,
Licensed practical nurses,Yukon,Inflow,Total,17,15,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Inflow,Age <35,10,11,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Inflow,Age 35–54,6,x,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Inflow,Age 55+,x,x,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Inflow,Age not stated,x,0,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Outflow,Total,12,—,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Outflow,Age <35,5,—,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Outflow,Age 35–54,x,—,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Outflow,Age 55+,x,—,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Outflow,Age not stated,0,—,—,—,—,—,—,—,—,—,
Licensed practical nurses,Yukon,Renewal,Total,95,100,—,—,—,—,—,—,—,—,
